FeatureID,FeatureName,Neutrophils Average,Neutrophils Log2 Fold Change,Neutrophils P-Value
ENSGACG00000019287,ENSGACG00000019287,2.7201606367368476,0.5164631620396508,0.07697197119228853
ENSGACG00000017701,ENSGACG00000017701,1.0283674656891033,0.4906978162487861,0.09703440394290101
ENSGACG00000005189,rplp2,10.892807272291739,0.45842250543508367,0.12617892963056707
ENSGACG00000015963,cox4i1,2.5141029943776263,0.45717077863913036,0.12717983144108727
ENSGACG00000020935,mt-co1,14.80029632253321,0.44240067723513743,0.14363181073261178
ENSGACG00000020946,mt-nd4l,4.225359725976328,0.42552545640398076,0.1637466385026955
ENSGACG00000007282,cxcr4a,4.870730417929146,0.4241864782660043,0.16545412179010888
ENSGACG00000019326,ponzr1,1.9946820271479813,0.4182552243067097,0.17326234842853644
ENSGACG00000008253,ENSGACG00000008253,1.5018954059354368,0.4142206375378792,0.17884027421802898
ENSGACG00000020954,mt-cyb,14.517280786153425,0.3362255782360619,0.3023508457066926
ENSGACG00000002010,ak2,1.0385346150821695,0.3253399600923265,0.32152119023057496
ENSGACG00000008983,ENSGACG00000008983,1.3416027408190603,0.3023090913989347,0.3667103862339983
ENSGACG00000000825,PDCL3,1.9826453515440994,0.2985642154097744,0.37338606334236574
ENSGACG00000005605,atp5mc1,2.864908063360551,0.2967590413651542,0.37713264193595364
ENSGACG00000015475,atp6v1g1,1.3330234082077828,0.28235136049459153,0.41032360360523035
ENSGACG00000017070,anxa4,1.2441312783757101,0.28125735620276593,0.41310689802000394
ENSGACG00000020951,mt-nd5,1.0062404705364352,0.24664216572932454,0.488542535951383
ENSGACG00000004038,psma3,1.226895783308875,0.23405500637421028,0.5186935418355155
ENSGACG00000003653,zgc:64051,3.3119553172783442,0.20114279242023958,0.6033152258700839
ENSGACG00000020257,ubb,2.750149885954179,0.19614385958310332,0.6156305578168706
ENSGACG00000020109,atp5f1c,1.0440663638703365,0.18423902475057785,0.6327363768838855
ENSGACG00000005090,ENSGACG00000005090,1.0481127356690882,0.13730541747795766,0.7438130103006242
ENSGACG00000006710,ENSGACG00000006710,1.7845780129900084,0.1297708800916364,0.7595541366307746
ENSGACG00000001066,ENSGACG00000001066,1.0222722980428822,0.1156485964164999,0.7943264828471555
ENSGACG00000009661,NDUFA4,1.66748933030714,0.06937477705815387,0.9128378965919235
ENSGACG00000003568,ENSGACG00000003568,1.11531323946608,0.023845510031771155,1
ENSGACG00000007989,itm2bb,2.6561869863996197,0.0013964275369870993,1
ENSGACG00000013157,rbm8a,1.2653875352932038,0.02015569663620309,1
