FeatureID,FeatureName,Cluster 12 Average,Cluster 12 Log2 Fold Change,Cluster 12 P-Value,Cluster 13 Average,Cluster 13 Log2 Fold Change,Cluster 13 P-Value
ENSGACG00000015537,cybb,1.2016376389449717,1.0951852037162442,0.9271001542743346,0.5620539351395075,-1.0951852037162442,0.9271001542743346
ENSGACG00000000082,ENSGACG00000000082,1.128610357845591,1.100791810730933,0.9277043815001244,0.5257923909369586,-1.100791810730933,0.9277043815001244
ENSGACG00000012781,ENSGACG00000012781,1.893531148923046,0.9263906942341972,0.988919968680786,0.9962859269650303,-0.9263906942341972,0.9889199686807639
ENSGACG00000020827,ncf1,2.40198073797473,0.9236630041237951,0.993131042837323,1.2664344312740194,-0.9236630041237951,0.9931310428372837
ENSGACG00000003653,zgc:64051,4.9335677662843365,0.52359349981732,1,3.433968235981378,-0.52359349981732,1
ENSGACG00000003574,rpl35,13.280151944324924,0.17997638984615394,1,11.731516088129624,-0.17997638984615394,1
ENSGACG00000004055,rpl6,12.388670839183682,0.3323647428178087,1,9.846822328202146,-0.3323647428178087,1
ENSGACG00000007298,tspan36,0.7014883352320076,-0.6328314836171886,1,1.0878463260764661,0.6328314836171886,1
ENSGACG00000001108,ENSGACG00000001108,3.0778067231228055,0.14786721134628067,1,2.779447363125371,-0.14786721134628067,1
ENSGACG00000004750,cfl1l,2.2511287631490022,0.5218487035817028,1,1.5683117867602387,-0.5218487035817028,1
ENSGACG00000008736,rps24,20.133598554277235,0.5869653526810592,1,13.414051739127892,-0.5869653526810592,1
ENSGACG00000011558,rps27a,28.80115248188392,0.5008230747777516,1,20.36992245578183,-0.5008230747777516,1
ENSGACG00000003895,rps23,13.393614560423023,0.34162967337055994,1,10.577492443883505,-0.34162967337055994,1
ENSGACG00000004372,rpl22,8.631230660573939,0.33834565869352184,1,6.831674927760208,-0.33834565869352184,1
ENSGACG00000004926,rps10,18.180061672813714,0.4191000935455129,1,13.607144462006465,-0.4191000935455129,1
ENSGACG00000005189,rplp2,8.82655388895758,0.4890606044241106,1,6.293190996352357,-0.4890606044241106,1
ENSGACG00000007041,rpl29,7.367378956291956,0.4903600623213129,1,5.247951984713885,-0.4903600623213129,1
ENSGACG00000000741,rps26,12.071280111736113,0.2893550536608629,1,9.884896949614822,-0.2893550536608629,1
ENSGACG00000008496,rplp0,9.036802401069561,0.4885291240794878,1,6.445489482003062,-0.4885291240794878,1
ENSGACG00000009846,arpc4,1.1854939647081952,0.423384979178217,1,0.8838751399371287,-0.423384979178217,1
ENSGACG00000015247,nme2a,1.3572108769908893,-0.11695683107173249,1,1.4722186946234843,0.11695683107173249,1
ENSGACG00000003288,rpl38,5.083049051788074,0.47590413874603765,1,3.656976732827054,-0.47590413874603765,1
ENSGACG00000006059,RPL19,4.591885378074825,0.12339639044913842,1,4.218124129361498,-0.12339639044913842,1
