"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000003403","ENSGACG00000003403","APC","ENSGACT00000004464.1",-0.74568479553689
"ENSGACG00000012518","col6a2","Fibroblast","ENSGACT00000016651.1",-0.657186965366754
"ENSGACG00000012665","ENSGACG00000012665","APC","ENSGACT00000016775.1",-1.42318371110692
"ENSGACG00000014424","ENSGACG00000014424","NKC","ENSGACT00000019064.1",0.705073917998659
"ENSGACG00000016089","rpl28","Bcell","ENSGACT00000021270.1",-0.291103322408842
