,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000000890,4.065960288,0.240247746,0.439174142,0.54704438,0.584348243,0.874647722
ENSGACG00000000892,42.75987752,0.104168804,0.206531088,0.504373479,0.613998951,0.888286759
ENSGACG00000000899,4.024063307,0.210318873,0.668813688,0.314465564,0.753167467,0.940472425
ENSGACG00000000900,2.015572192,1.782994569,1.376722966,1.295100476,0.195285571,0.63754788
ENSGACG00000000905,15.58398844,-0.093746839,0.298930525,-0.313607446,0.753819203,0.940642655
ENSGACG00000000906,11.10667433,0.388745279,0.395413143,0.983136968,0.325540032,0.744973182
ENSGACG00000000917,1.404653883,1.301074621,0.950322229,1.369087853,0.170971815,0.61569972
ENSGACG00000000920,3.278260028,1.955589806,1.243997995,1.572020062,0.115945899,0.559519307
ENSGACG00000000923,8.817425184,0.278305807,0.334999322,0.830765284,0.406106238,0.790560124
ENSGACG00000000924,1.923695768,1.067296107,0.680392991,1.568646535,0.116730323,0.560256733
ENSGACG00000000930,31.93992141,0.403455608,0.205933081,1.959158807,0.050094192,0.433627721
ENSGACG00000000932,2.434715539,0.708616789,0.711876036,0.995421609,0.319531253,0.739446941
ENSGACG00000000934,33.17056149,0.20878949,0.216203907,0.96570637,0.334191131,0.748869384
ENSGACG00000000936,17.48264489,0.661289788,1.340308012,0.493386432,0.621739567,0.891110273
ENSGACG00000000939,58.80132688,-0.427955192,0.196587214,-2.176922815,0.029486327,0.377834392
ENSGACG00000000941,4.973420019,0.83539496,1.021294754,0.817976355,0.413370689,0.792599635
ENSGACG00000000945,11.4628458,0.084775174,0.338456342,0.25047595,0.802219301,0.957795101
ENSGACG00000000948,12.49243269,-0.086239297,0.253461731,-0.340245829,0.733671408,0.931767269
ENSGACG00000000951,23.19537624,0.145421429,0.238547884,0.609611061,0.542119483,0.857718231
ENSGACG00000000952,1.015102963,-0.128342861,0.975023893,-0.131630478,0.895276578,0.978291663
ENSGACG00000000957,7.500443812,0.058462881,0.374441268,0.156133647,0.875927677,0.974800696
ENSGACG00000000958,1.719705528,-0.170593736,0.774819944,-0.220172102,0.825737123,0.962991194
ENSGACG00000000963,83.49710951,-0.56936708,0.203318854,-2.800365379,0.005104479,0.219008774
ENSGACG00000000966,3.47211424,2.248983656,1.240295929,1.813263757,0.06979115,0.473635715
ENSGACG00000000969,61.70880391,-0.113634901,0.19383415,-0.586248097,0.557708805,0.862182003
ENSGACG00000000972,15.9826121,-0.246766265,0.30100776,-0.819800344,0.412329935,0.792599635
ENSGACG00000000973,29.83412444,0.501789508,0.271247405,1.849932931,0.064323217,0.461424788
ENSGACG00000000976,2.430357101,0.285125076,0.578506611,0.49286399,0.622108693,0.891110273
ENSGACG00000000980,8.110133675,0.242646016,0.349263778,0.694735703,0.487220949,0.831765393
ENSGACG00000000986,27.90616068,0.001606306,0.230400171,0.006971809,0.994437346,0.999405117
ENSGACG00000000987,7.410749519,0.407381926,0.39777028,1.024163811,0.305757909,0.730305314
ENSGACG00000000991,2.551977634,-0.863674187,0.589179684,-1.465892682,0.142677526,0.588320356
ENSGACG00000000997,65.52642757,0.145686259,0.194281145,0.749873382,0.453330967,0.812083327
ENSGACG00000001000,136.3122489,0.343746155,0.244302713,1.407050094,0.159412535,0.604845633
ENSGACG00000001002,10.46698168,0.017873278,0.386619434,0.046229641,0.963127218,0.991631857
ENSGACG00000001004,1.463026281,1.348677056,0.942427742,1.431066804,0.15241107,0.595172211
ENSGACG00000001005,26.52230589,-0.341367253,0.268760966,-1.270151904,0.204030526,0.64560935
ENSGACG00000001006,10.03043093,0.281958495,0.383923602,0.734413028,0.462697049,0.817055959
