FeatureID,FeatureName,type,X,log2FoldChange
ENSGACG00000017163,ENSGACG00000017163,APC,ENSGACT00000022710.1,0.187782407
ENSGACG00000017191,eef1da,HC,ENSGACT00000022748.1,-0.100830332
ENSGACG00000017305,ENSGACG00000017305,Neutrophil,ENSGACT00000022896.1,-0.627222363
ENSGACG00000017481,gtpbp4,Bcell,ENSGACT00000023186.1,-0.31395745
ENSGACG00000017697,ENSGACG00000017697,APC,ENSGACT00000023437.2,0.347218
ENSGACG00000017697,ENSGACG00000017697,Fibroblast,ENSGACT00000023437.2,0.347218
ENSGACG00000018028,spock3,Platelet,ENSGACT00000023867.1,-0.365235863
ENSGACG00000018429,ENSGACG00000018429,APC,ENSGACT00000024410.1,0.785270286
ENSGACG00000018430,ENSGACG00000018430,APC,ENSGACT00000024413.1,0.755230235
ENSGACG00000018502,sprb,APC,ENSGACT00000024511.1,0.647742647
ENSGACG00000018584,tln1,Platelet,ENSGACT00000024631.1,0.145233489
ENSGACG00000018609,clta,APC,ENSGACT00000024649.1,0.328563286
ENSGACG00000019078,cxcl19,APC,ENSGACT00000025278.1,0.462128782
ENSGACG00000019081,ENSGACG00000019081,Fibroblast,ENSGACT00000025280.1,0.995595399
ENSGACG00000019128,ENSGACG00000019128,Platelet,ENSGACT00000025341.1,-0.392451624
ENSGACG00000019128,ENSGACG00000019128,Fibroblast,ENSGACT00000025341.1,-0.392451624
ENSGACG00000019181,rps15a,Bcell,ENSGACT00000025415.1,-0.096387514
ENSGACG00000019326,ponzr1,APC,ENSGACT00000025593.1,0.644163786
ENSGACG00000019471,rbpms,Platelet,ENSGACT00000025790.1,-0.286894545
ENSGACG00000019593,rpl34,Bcell,ENSGACT00000025959.1,-0.124568117
ENSGACG00000019945,ptn,Fibroblast,ENSGACT00000026404.1,-0.310845464
ENSGACG00000020024,epdl1,APC,ENSGACT00000026505.1,0.286416672
ENSGACG00000020061,S100P,APC,ENSGACT00000026555.1,1.656295762
ENSGACG00000020069,ENSGACG00000020069,NKC,ENSGACT00000026565.1,-0.366536439
ENSGACG00000020286,prdx5,Neutrophil,ENSGACT00000026858.1,-0.480450762
ENSGACG00000020581,sod1,RBC,ENSGACT00000027268.1,0.230838114
ENSGACG00000020906,rps14,Bcell,ENSGACT00000027698.1,-0.187836691
ENSGACG00000020929,mt-nd2,Neutrophil,ENSGACT00000027721.1,-0.175340934
ENSGACG00000020938,mt-co2,Neutrophil,ENSGACT00000027730.1,-0.196315063
ENSGACG00000020940,ENSGACG00000020940,Neutrophil,ENSGACT00000027732.1,-0.455000385
ENSGACG00000020942,mt-co3,Neutrophil,ENSGACT00000027734.1,-0.18969358
