FeatureID,FeatureName,Natural Killer Cells Average,Natural Killer Cells Log2 Fold Change,Natural Killer Cells P-Value
ENSGACG00000003110,rpl21,13.688452130265095,0.27020734727638906,1
ENSGACG00000012539,rpl22l1,1.4519240572506582,0.017027456895993276,1
ENSGACG00000012745,sat1b,1.2344483633305703,1.410734811779975,1
ENSGACG00000013435,rpl17,19.500842079280392,0.23302034590685228,1
ENSGACG00000003476,rps19,12.751272701069897,0.2468689572279108,1
ENSGACG00000014009,si:ch211-79k12.1,1.4190680171620118,0.7375751771527946,1
ENSGACG00000011547,rpl18,12.295981859841511,0.12705653910591685,1
ENSGACG00000010761,rps9,13.486622169720553,0.0790569946021975,1
ENSGACG00000004699,rpl35a,12.350741926655921,0.28135898749188426,1
ENSGACG00000005779,ENSGACG00000005779,1.0451349894864652,0.20792903762119336,1
ENSGACG00000006818,rps25,14.112451504742388,0.12091647625128266,1
ENSGACG00000013384,rps3,9.143366584669016,0.08045028882073701,1
ENSGACG00000015169,rpl31,17.68906615439218,0.17726846172333666,1
ENSGACG00000013901,zgc:92027,1.544233884166379,0.47831117722708505,1
ENSGACG00000015402,eef1b2,5.593349681757654,0.07270978626357971,1
ENSGACG00000015892,nsa2,1.3517913636471646,0.08795002885346848,1
ENSGACG00000015957,RPL7A,17.61083748751445,0.138137943074355,1
ENSGACG00000016089,rpl28,13.824570010632344,0.22544272550892996,1
ENSGACG00000016123,rpl37,7.990276034891283,0.15903214725420822,1
ENSGACG00000000474,rpl23,22.88970792842363,0.18548858962209813,1
ENSGACG00000007176,ENSGACG00000007176,1.3674370970227103,0.44912330453092797,1
ENSGACG00000009280,ENSGACG00000009280,5.79987336231486,0.032166646639094854,1
ENSGACG00000013895,ENSGACG00000013895,13.181530368897409,0.2750737461849435,1
ENSGACG00000013902,ENSGACG00000013902,9.922524106771201,0.4912664215969835,1
ENSGACG00000013918,HBE1,32.938962475536755,0.5722915226791905,1
ENSGACG00000014154,si:dkey-159f12.2,16.76596788523497,0.25193831007540046,1
ENSGACG00000014635,rpl27,14.268908838497847,0.13431516221826412,1
ENSGACG00000014559,rpl3,7.500564580236698,0.04704710666633005,1
ENSGACG00000015484,fth1b,9.783277079728842,0.16553378937696062,1
ENSGACG00000015752,rpl13,12.749708127732342,0.17805334435416809,1
ENSGACG00000017042,rps17,8.218703742174254,0.2823375220525475,1
ENSGACG00000017491,rpl12,10.973917389607884,0.025701405955020462,1
ENSGACG00000007990,RPS17,2.292099939517472,0.0014787768120985145,1
ENSGACG00000006523,RPL27A,8.927455464086481,0.04375596029271023,1
ENSGACG00000006058,rsl24d1,1.866535991702624,0.05270531026724856,1
ENSGACG00000004968,rpl4,1.993266432044546,0.09815585743709965,1
augustus_masked-chrY-processed-gene-6.13,augustus_masked-chrY-processed-gene-6.13,1.9259897785296984,0.10200596139950502,1
maker-chrY-augustus-gene-46.49,maker-chrY-augustus-gene-46.49,1.6068168176685624,0.05060764963686615,1
