"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000011456","ada","RBC","ENSGACT00000015197.1",-0.31648694559343
"ENSGACG00000011546","anxa1a","Fibroblast","ENSGACT00000015295.1",0.443618990830118
"ENSGACG00000011547","rpl18","Bcell","ENSGACT00000015335.1",-1.29147993198411
"ENSGACG00000011650","tegt","Neutrophil","ENSGACT00000015469.1",-0.242042286673966
"ENSGACG00000011970","ENSGACG00000011970","Fibroblast","ENSGACT00000015875.1",0.524349890848457
"ENSGACG00000011976","ENSGACG00000011976","Neutrophil","ENSGACT00000015871.1",-0.296219012216934
"ENSGACG00000012167","lgmn","APC","ENSGACT00000016142.1",0.571570614670954
"ENSGACG00000012484","zgc:171772","Bcell","ENSGACT00000016534.1",-0.254446866727959
"ENSGACG00000012552","blvrb","RBC","ENSGACT00000016632.1",-0.74719876785296
"ENSGACG00000012607","ENSGACG00000012607","Neutrophil","ENSGACT00000016707.1",-0.725940099592451
"ENSGACG00000012609","ENSGACG00000012609","APC","ENSGACT00000016708.1",-1.95894961146556
"ENSGACG00000012635","ENSGACG00000012635","HC","ENSGACT00000016810.1",-0.374162442975058
"ENSGACG00000012769","ENSGACG00000012769","Bcell","ENSGACT00000016907.1",1.20310112320787
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil","ENSGACT00000017155.1",-1.36812273126537
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast","ENSGACT00000017229.1",0.848575340604544
"ENSGACG00000013298","arhgdia","Neutrophil","ENSGACT00000017642.1",-0.671923717217744
"ENSGACG00000013555","coro1a","Neutrophil","ENSGACT00000017966.1",-0.449954449122133
"ENSGACG00000013795","csf3r","APC","ENSGACT00000018254.1",-0.907153484676243
"ENSGACG00000014154","si:dkey-159f12.2","Bcell","ENSGACT00000018731.1",0.967694253450967
"ENSGACG00000014487","zgc:163057","RBC","ENSGACT00000019154.1",-0.936111631461267
"ENSGACG00000014503","arpc2","Neutrophil","ENSGACT00000019207.1",-0.492146991717921
"ENSGACG00000014527","fbp2","Neutrophil","ENSGACT00000019253.1",-0.633695051605717
"ENSGACG00000014576","ENSGACG00000014576","Neutrophil","ENSGACT00000019271.1",-0.336305032630736
"ENSGACG00000014831","ENSGACG00000014831","Neutrophil","ENSGACT00000019620.1",-0.979731141813318
"ENSGACG00000014908","arl6ip1","Neutrophil","ENSGACT00000019712.1",-0.502613793233025
"ENSGACG00000015423","ENSGACG00000015423","Neutrophil","ENSGACT00000020376.1",-0.334889256124657
"ENSGACG00000015484","fth1b","RBC","ENSGACT00000020484.1",-2.22788247589502
"ENSGACG00000015634","scinlb","Neutrophil","ENSGACT00000020673.1",-0.721895607246859
"ENSGACG00000015825","aldh1a2","Fibroblast","ENSGACT00000020927.1",2.08575525375039
"ENSGACG00000015943","cyba","Neutrophil","ENSGACT00000021084.1",-0.312241923162668
"ENSGACG00000016482","hmgb2a","HC","ENSGACT00000021812.1",-0.371107087486858
"ENSGACG00000016593","actb1","Neutrophil","ENSGACT00000021958.1",-0.579500558879676
"ENSGACG00000016924","fermt3b","Platelet","ENSGACT00000022399.1",0.827094697468232
"ENSGACG00000017028","ENSGACG00000017028","APC","ENSGACT00000022537.1",-0.414698478517286
"ENSGACG00000017032","cfl1","Neutrophil","ENSGACT00000022543.1",-0.247044326472331
"ENSGACG00000017070","anxa4","APC","ENSGACT00000022600.1",-0.448866702632089
"ENSGACG00000017166","mpx","Neutrophil","ENSGACT00000022731.1",1.74637707949443
"ENSGACG00000017200","taldo1","Neutrophil","ENSGACT00000022801.1",-0.558134192360242
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil","ENSGACT00000022896.1",0.945488371735571
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil","ENSGACT00000022900.1",-0.532053457152488
"ENSGACG00000017383","aqp1a.1","RBC","ENSGACT00000023023.1",-0.765068824454661
"ENSGACG00000017697","ENSGACG00000017697","APC","ENSGACT00000023437.2",-0.468266789404038
"ENSGACG00000017697","ENSGACG00000017697","Fibroblast","ENSGACT00000023437.2",-0.468266789404038
"ENSGACG00000017701","ENSGACG00000017701","Neutrophil","ENSGACT00000023440.1",-0.296109034538288
"ENSGACG00000017702","eef1g","HC","ENSGACT00000023445.1",-0.24112703107607
"ENSGACG00000018028","spock3","Platelet","ENSGACT00000023867.1",0.423727608230589
"ENSGACG00000018299","si:ch211-156l18.7","Fibroblast","ENSGACT00000024237.1",-0.657295553844763
"ENSGACG00000018502","sprb","APC","ENSGACT00000024511.1",-0.935278947912883
"ENSGACG00000018539","sh2d1ab","NKC","ENSGACT00000024555.1",0.556020229133095
"ENSGACG00000018552","sh3bgrl","Neutrophil","ENSGACT00000024572.1",-0.521899537277426
"ENSGACG00000018584","tln1","Platelet","ENSGACT00000024631.1",-0.52252050138814
"ENSGACG00000018609","clta","APC","ENSGACT00000024649.1",-0.404634628515415
"ENSGACG00000019168","myh11a","Platelet","ENSGACT00000025393.1",-0.681568851356501
"ENSGACG00000019287","ENSGACG00000019287","Neutrophil","ENSGACT00000025549.1",-0.35078514284458
"ENSGACG00000019593","rpl34","Bcell","ENSGACT00000025959.1",0.223974553880743
"ENSGACG00000019806","dcn","Fibroblast","ENSGACT00000026230.1",0.70455941070657
"ENSGACG00000019806","dcn","Fibroblast","ENSGACT00000026231.1",0.362651304762951
"ENSGACG00000019847","cct7","HC","ENSGACT00000026290.1",-0.362615375627486
"ENSGACG00000019945","ptn","Fibroblast","ENSGACT00000026404.1",0.568903834416718
"ENSGACG00000020333","msna","Neutrophil","ENSGACT00000026923.1",-0.604335768373231
"ENSGACG00000020494","cct6a","HC","ENSGACT00000027152.1",-0.330172541763658
"ENSGACG00000020547","alox5ap","Neutrophil","ENSGACT00000027217.1",-0.812580550255174
"ENSGACG00000020581","sod1","RBC","ENSGACT00000027268.1",-0.532028499267512
"ENSGACG00000020795","pgk1","Neutrophil","ENSGACT00000027547.1",-0.300613542808079
"ENSGACG00000020925","mt-nd1","Neutrophil","ENSGACT00000027717.1",-0.444675866866199
"ENSGACG00000020929","mt-nd2","Neutrophil","ENSGACT00000027721.1",0.396033796734054
"ENSGACG00000020940","ENSGACG00000020940","Neutrophil","ENSGACT00000027732.1",1.95953424337217
