,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000001206,206.9477312,0.692788068,0.179752602,3.854119841,0.000116147,0.00911272
ENSGACG00000001208,4.716538294,-0.374083349,0.674833462,-0.554334321,0.579350066,0.819893098
ENSGACG00000001210,12.67438889,0.099406664,0.362473996,0.274244954,0.783896384,0.915979332
ENSGACG00000001212,4.315876698,-0.87305638,0.773169907,-1.129190845,0.258817335,0.567002573
ENSGACG00000001224,133.63605,0.360539916,0.211213438,1.70699326,0.087823305,0.33861345
ENSGACG00000001232,132.4969685,0.160240093,0.21488358,0.745706548,0.455844703,0.732779043
ENSGACG00000001234,21.69749339,-0.140316937,0.347418302,-0.403884699,0.686297508,0.875447561
ENSGACG00000001235,26.49807402,-0.547650501,0.263616091,-2.077454755,0.037759607,0.224512054
ENSGACG00000001238,38.37538363,0.193983607,0.217362223,0.892443977,0.372155008,0.672076459
ENSGACG00000001239,155.1931802,2.373662046,0.64617002,3.673432646,0.000239314,0.013051251
ENSGACG00000001242,3.502422876,0.710354713,1.086174342,0.653996956,0.513113767,0.773498656
ENSGACG00000001247,16.75927896,0.284730533,0.351894087,0.809137021,0.418436336,0.709117212
ENSGACG00000001248,11.95068402,0.719349295,0.380876605,1.888667577,0.058936386,0.277086993
ENSGACG00000001254,103.6270985,0.419518454,0.214944226,1.951754935,0.050967307,0.255928809
ENSGACG00000001260,1.675442883,-0.001555122,0.985143199,-0.001578575,0.99874048,0.999178158
ENSGACG00000001273,2.530110537,1.565163123,1.112892815,1.406391615,0.159607869,0.449433915
ENSGACG00000001275,17.41334878,-0.010141099,0.555121218,-0.018268261,0.985424847,0.995160597
ENSGACG00000001278,26.5984745,-0.2376998,0.285861931,-0.831519606,0.405680157,0.700687365
ENSGACG00000001279,2.872098118,-0.610808842,0.741600688,-0.823635754,0.410146554,0.70283111
ENSGACG00000001281,2.854505708,0.576413047,0.692517662,0.832344182,0.405214699,0.700687365
ENSGACG00000001283,12.48815447,-0.345988902,0.631615267,-0.547784261,0.583840047,0.820943827
ENSGACG00000001286,21.91695732,-0.852668024,0.447792017,-1.90416084,0.05688924,0.271722786
ENSGACG00000001289,1.69939193,1.557964427,1.351655325,1.152634402,0.249060477,0.556314951
ENSGACG00000001291,1.757331928,-1.004164267,0.855003263,-1.174456648,0.240212166,0.545210493
ENSGACG00000001299,6.149205417,-0.313837144,0.549891979,-0.57072508,0.568186016,0.81080723
ENSGACG00000001300,11.69598484,-0.120184267,0.378239468,-0.317746499,0.750677236,0.899870741
ENSGACG00000001301,2.729892503,1.380383146,0.716750706,1.92589018,0.054118088,0.264256229
ENSGACG00000001302,19.83299168,-0.014276449,0.280122647,-0.050964994,0.959353415,0.98727176
ENSGACG00000001305,215.4504185,0.490307329,0.167650595,2.924578521,0.00344923,0.068327973
ENSGACG00000001307,66.37779712,-0.591262455,0.337540132,-1.751680461,0.079828768,0.323351159
ENSGACG00000001309,139.7955213,0.266213027,0.180243345,1.476964533,0.139685145,0.422932981
ENSGACG00000001317,1.053755277,0.966867492,1.57250049,0.614859899,0.538647248,0.790207179
ENSGACG00000001319,2.386005063,-3.69819923,1.454058776,-2.543362957,0.010979112,0.122860194
ENSGACG00000001322,8.658210122,-0.313245797,1.011753417,-0.309606858,0.75685994,0.902562449
ENSGACG00000001323,147.8900808,-0.288906042,0.231013119,-1.25060448,0.211078815,0.511892986
