,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000001138,2.057195756,0.332725047,0.453133877,0.734275375,0.462780923,0.807236165
ENSGACG00000001139,17.43515711,-0.100434731,0.148316961,-0.677162815,0.498302658,0.823951408
ENSGACG00000001140,1.225293164,0.364637877,0.680262376,0.536025348,0.591941032,0.865869247
ENSGACG00000001143,24.9389331,-0.31867892,0.163569553,-1.948277741,0.051381739,0.423669152
ENSGACG00000001144,113.9253204,-0.076417089,0.094577232,-0.807986096,0.419098586,0.784156014
ENSGACG00000001147,300.2232338,0.178354805,0.106876594,1.668792011,0.095158607,0.498540125
ENSGACG00000001148,2.14627973,0.418287419,0.481519293,0.868682574,0.385020775,0.768652978
ENSGACG00000001150,2.852820835,1.794658932,0.700332289,2.562582022,0.010389704,0.269688544
ENSGACG00000001152,1.013569025,1.465363083,0.743252388,1.971555163,0.04866041,0.417161639
ENSGACG00000001156,48.06740711,0.041640591,0.112890102,0.368859542,0.712232421,0.91152944
ENSGACG00000001158,15.73972623,-0.1714674,0.162607268,-1.054487922,0.291659587,0.706125106
ENSGACG00000001160,2.031232998,-0.674908819,0.454617116,-1.484565354,0.137658999,0.554871945
ENSGACG00000001164,13.3798041,-0.151001636,0.332505474,-0.454132783,0.649733259,0.889788007
ENSGACG00000001166,2.584516125,-0.136431311,0.712347367,-0.19152357,0.848115416,0.958670104
ENSGACG00000001169,22.72023886,0.14912138,0.186236389,0.80071022,0.423299425,0.78753179
ENSGACG00000001170,37.17246945,0.000934131,0.122019443,0.00765559,0.993891783,0.99849794
ENSGACG00000001171,2.639292164,-0.396759625,0.408893296,-0.970325582,0.33188423,0.733353169
ENSGACG00000001173,74.19189746,0.05086395,0.202884348,0.25070416,0.802042844,0.941901165
ENSGACG00000001176,122.5599664,-0.048497165,0.130248939,-0.37234211,0.709638149,0.910894194
ENSGACG00000001178,3.837522489,-0.506543277,0.3491826,-1.450654405,0.146876118,0.565335669
ENSGACG00000001180,8.640384379,-0.715638185,0.244417806,-2.927929824,0.003412271,0.191687668
ENSGACG00000001181,1.039767749,0.012156134,0.768125157,0.01582572,0.987373429,0.996635099
ENSGACG00000001182,7.426274634,0.07422944,0.334145388,0.222147133,0.824199348,0.94962888
ENSGACG00000001183,39.18383058,0.291339275,0.173532515,1.678874272,0.09317655,0.496694106
ENSGACG00000001185,15.32486405,-0.109771906,0.18854892,-0.582193235,0.56043653,0.851784164
ENSGACG00000001186,46.35570036,-0.057368971,0.124899159,-0.459322318,0.646002724,0.888394795
ENSGACG00000001188,15.87223013,-0.359516109,0.187068247,-1.921844644,0.054625309,0.432019158
ENSGACG00000001189,85.32628277,0.017905919,0.103651037,0.172751956,0.862846403,0.961278425
ENSGACG00000001197,15.22517142,0.139809037,0.185105343,0.755294443,0.450072332,0.801766721
ENSGACG00000001204,26.2662998,-0.173485288,0.173607479,-0.999296165,0.317651242,0.722612329
ENSGACG00000001206,206.9477312,0.130483993,0.099135859,1.31621387,0.18810227,0.615873362
ENSGACG00000001208,4.716538294,0.337984855,0.379337546,0.890987088,0.372936097,0.760917396
ENSGACG00000001210,12.67438889,-0.008637314,0.189267507,-0.045635484,0.963600786,0.990577658
ENSGACG00000001212,4.315876698,0.119080335,0.422148751,0.282081457,0.777881051,0.933074962
ENSGACG00000001224,133.63605,-0.005153761,0.116812201,-0.044120054,0.964808708,0.990970414
ENSGACG00000001232,132.4969685,0.030726734,0.117605361,0.261269839,0.793884424,0.939515883
ENSGACG00000001234,21.69749339,-0.232049074,0.189521653,-1.224393469,0.220803832,0.649156717
ENSGACG00000001235,26.49807402,-0.177792538,0.140758368,-1.263104571,0.206551601,0.635808109
ENSGACG00000001238,38.37538363,0.031028156,0.120490426,0.25751553,0.796780828,0.940450696
ENSGACG00000001239,155.1931802,0.170287566,0.35310856,0.482252728,0.629626424,0.882407169
ENSGACG00000001242,3.502422876,0.856483072,0.634815386,1.349184488,0.177277716,0.603116927
ENSGACG00000001247,16.75927896,0.319651645,0.193083402,1.655510736,0.097820941,0.503986021
ENSGACG00000001248,11.95068402,-0.198729246,0.224137859,-0.886638458,0.375273582,0.763317178
ENSGACG00000001254,103.6270985,-0.013281656,0.118827797,-0.111772298,0.911003953,0.975090895
ENSGACG00000001260,1.675442883,-0.262185035,0.541286421,-0.484373937,0.628120512,0.881786419
ENSGACG00000001273,2.530110537,1.923748199,0.63526142,3.028278028,0.002459517,0.168263165
ENSGACG00000001275,17.41334878,0.588337314,0.301025378,1.954444232,0.050648704,0.423379826
ENSGACG00000001278,26.5984745,-0.129856203,0.156340675,-0.830597686,0.406200942,0.778878375
ENSGACG00000001279,2.872098118,-0.246447668,0.407868547,-0.604233078,0.545688692,0.845722457
ENSGACG00000001281,2.854505708,0.600221699,0.376192323,1.595518205,0.110596402,0.523655455
ENSGACG00000001283,12.48815447,-0.20994275,0.355312855,-0.590867309,0.554609331,0.848694773
ENSGACG00000001286,21.91695732,0.156472349,0.238947012,0.654841205,0.512569998,0.828816649
ENSGACG00000001289,1.69939193,0.843641358,0.797127297,1.058352111,0.289894943,0.704997217
ENSGACG00000001291,1.757331928,-0.479015031,0.505961348,-0.946742341,0.343770089,0.740460856
ENSGACG00000001299,6.149205417,-0.068605755,0.298233599,-0.230040327,0.818060433,0.947409633
ENSGACG00000001300,11.69598484,-0.284130216,0.208597892,-1.362095337,0.1731678,0.598354234
ENSGACG00000001301,2.729892503,0.115639706,0.386117426,0.29949362,0.764563439,0.927751005
ENSGACG00000001302,19.83299168,0.028293811,0.155741499,0.181671627,0.855840434,0.959464291
ENSGACG00000001305,215.4504185,0.018724579,0.091946248,0.203647012,0.838629353,0.954862474
ENSGACG00000001307,66.37779712,-0.389783273,0.182811,-2.132165318,0.032993259,0.371965093
ENSGACG00000001309,139.7955213,-0.128294885,0.098959053,-1.296444144,0.194822512,0.623225512
ENSGACG00000001317,1.053755277,-0.641171202,0.792500533,-0.809048292,0.418487369,0.783653741
ENSGACG00000001319,2.386005063,-0.284428297,0.779136893,-0.365055615,0.715069892,0.912858588
ENSGACG00000001322,8.658210122,0.549213287,0.56364488,0.974395947,0.329859981,0.731098135
