SampleID,Gosling,Roberts,GG12,GG13,GG15,GG16,GG17,GG22,GG32,GG42,GG47,GG49,GG8,RR10,RR12,RR13,RR15,RR18,RR30,RR44,RR52,Control,Exposed,Infected,Echo,UBC,Gos,Male,Female,n_worms_found,avg_worm_mass,total_worm_mass,HK_count,weight,length,A_Freq.Gran,A_Freq.Lymph,P_Gadj_MFI
GG22E5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2.7,2.7,2.775,1.471,57.45,NA,NA,NA
GG32C1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,3.72,1.83,60.31,22.2,74.5,866532
GG32C2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,1.786,2.51,60.62,19.2,77.2,1231607
GG32E1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,2.436,3.8,74.01,40.2,54.5,855071
GG32E2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,3.55,4.12,73.21,25,68.1,1176472
GG32E3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,52.8,52.8,4.872,3.61,70.56,47.1,49,873098
GG42C1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,1.122,2.55,58.7,24.1,69.1,1055955
GG42C2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,1.512,2.02,56.18,25,67.5,765864
GG42E2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,0.72,2.38,56.68,19.5,76.7,965170
GG42E3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0.7,1.4,0.56,1.87,54.7,24.4,68.8,875242
GG42E4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,0.56,2.42,57.12,22.7,74,819549
GG47C1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,NA,1.586,3.1,67.89,26,70.7,482840
GG47C2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,4.06,2.67,60.32,25.7,71.4,604779
GG47E1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,2.596,3.28,68.85,37.2,56.8,751228
GG47E2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,3.618,3.1,64.15,19.4,78.2,969916
GG47E3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,50.2,50.2,9.338,2.96,65.7,31.8,64.5,602302
GG47E5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,29.9,59.8,4.558,2.76,61.42,31.6,64.4,606098
GG49C1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,NA,NA,3.306,1.944,57.28,NA,NA,NA
GG49C2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,NA,NA,4.795,2.544,61.21,NA,NA,NA
GG49E2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,NA,NA,4.7304,2.472,61.26,NA,NA,NA
GG49E3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,NA,NA,2.3532,1.878,62.45,NA,NA,NA
GG8C1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,5.568,3.43,63.61,41.5,55.7,618159
GG8C2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,12.6,2.5,60.57,54.1,43.4,569288
GG8E1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0.2,0.2,9.36,2.17,61.7,62.2,35.1,802022
GG8E2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,2.275,3.34,67.74,39.4,55.9,650621
GG8E3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,20.68,3.27,64.31,61.4,36.7,527018
RR10C1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,NA,NA,0.91,1.095,48.08,33.2,60.7,1140033
RR10C2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,NA,NA,0.975,1.63,49.77,25.1,57.7,1251480
RR10E1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,NA,NA,2.331,1.72,56.41,21.5,73.1,969612
RR10E3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,NA,NA,1.088,1.5,51.75,17.3,74.4,1034004
RR10E4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0.7,0.7,1.75,1.82,55.04,46.8,49.1,1055502
RR12C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,NA,NA,5.964,2.05,56.82,50.4,45.1,2660645
RR12C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,NA,NA,1.45,2.1,54.3,36.4,57.2,2215267
RR12E1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0.4,1.2,6.54,1.9,51.92,67.5,28.7,2399633
RR12E2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,NA,NA,1.767,2.33,56.04,30.2,65.8,1221191
RR12E4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,NA,NA,3.264,1.97,51.52,51.9,43.3,1270573
RR13C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,NA,NA,1.95,2.88,62.39,29.6,64.9,2912799
RR13C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,NA,NA,5.883,3.03,62.31,33.8,63.8,3205524
RR13E1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0.1,0.1,9.36,2.99,62.16,46.2,51,4178826
RR13E2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,4.988,2.69,60.44,33.8,63.5,3055519
RR13E3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,1.6768,2.41,61.05,25.4,69.5,1275309
RR15C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,NA,NA,1.0192,1.78,52.64,24.7,71,1355058
RR15C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,NA,NA,3.124,1.98,56.87,29.1,65.8,3604442
RR15E3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,2.88,2.31,60.58,20.8,76.8,5277616
RR15E4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,NA,NA,3.216,2.16,58.4,22,72.3,3485240
RR15E5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,2.2,2.2,2.1952,3.04,61.58,37.1,56.8,2212290
RR18C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,NA,NA,2.95,2.42,58.83,21.8,74,4424043
RR18C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,NA,NA,1.1152,1.71,53.91,19.5,77.2,5770317
RR18E3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,0.583,2.13,60.83,12.6,83.9,1807950
RR18E4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,NA,NA,2.064,1.72,54.01,16.4,79.9,1796987
RR18E5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0.1,0.1,2.7072,1.78,57.88,37.1,60.1,4014126
RR30C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,NA,NA,1.08,1.75,54.41,34.9,60.4,2152441
