Date,exposed,n_worm_exp,Worm,Pop,Family,Name,RNAseq,FishID,Sex,worm_present,n_worms_found,avg_worm_mass,total_worm_mass,HK_count,weight,length,Freq Gran,Freq Lymph,Gran1,Gran2,Gran3,Gran4,Lobed_Gran,Lymph1,Lymph2,Lymph3,Lymph4,ISlymph,ISprecur,ISmyeloid,ISeos,Gran_bead1,Gran_ bead2,Gran_bead3,Lymph_bead1,Lymph_bead2,Lymph_bead3,A_Freq Gran,A_Freq Lymph,ROS1,ROS2,ROS3,ROS4,PMAhi,PMAlow,MFI_DHR,avg_spots_per_area,average_spot_size,avg_freq_pigmented,avg_CV,lymph,precursor,myeloid,eosinophil,BG_ROS_L,BG_ROS_G,PMA_ROS_L,PMA_ROS_G,BG_Lhi_MFI,BG_Llow_MFI,BG_Ladj_MFI,BG_Ghi_MFI,BG_Glo_MFI,BG_Gadj_MFI,P_Lhi_MFI,P_Llo_MFI,P_Ladj_MFI,P_Ghi_MFI,P_Glo_MFI,P_Gadj_MFI,NOTES
5/5/2014,T,5,UBC,GG,GG13,E3,Yes,GG13E3,M,F,0,NA,NA,2.4416,3.03,63.93,41.0841,56.9046,30.0896,43.7612,17.4328,8.7164,69.9104,42.931,41.3362,5.7328,10,50.7481,3.0415,33.9956,0.6623,7.29,0.84,0.26,4.67,0.44,0.079,28.9,62,6.26,20.8,0.32,56.5,25.9,68.1,,,,,,34.7,3.83,17.9,2.86,1.02,15.4,10.1,74,402000,35253,366747,297317,78465,218852,1090000,27517,1062483,588000,67517,520483,
5/5/2014,T,5,UBC,GG,GG13,E4,Yes,GG13E4,M,T,1,22.6,22.6,5.8164,3.1,62.97,25.7314,72.6619,28.1454,45.8527,14.6319,11.37,71.8546,54.1914,37.1287,4.3234,4.3564,65.8993,3.0216,20.5755,0.4796,7.18,1.14,0.35,5.08,0.42,0.049,30.5,64.5,5.04,26.2,0.45,51.3,39.4,55.4,,,,,,35.7,8.8,22.1,1.09,1.19,13.1,28.6,76.6,423000,61496,361504,310901,81386,229515,997000,40473,956527,402000,55785,346215,
3/20/2014,F,0,Echo,GG,GG15,C1,Yes,GG15C1,M,F,0,NA,NA,5.781,2.17,57.83,39.532,58.0861,23.2558,42.0719,22.0402,12.6321,76.7442,52.9856,33.2734,7.6619,6.0791,46.088,5.7253,34.5966,0.8354,8.13,0.82,0.26,6.77,0.47,0.12,30.7,64.6,6.32,26.3,0.82,50.1,24,73.1,,0.00033067,241.6446,6.792805507,0.4846761,43.7,14.3,21.2,0.33,1.37,20.2,11.2,61.5,544000,31452,512548,406000,93118,312882,1180000,42301,1137699,946000,91505,854495,
3/20/2014,T,5,Echo,GG,GG15,E1,Yes,GG15E1,M,F,0,NA,NA,1.6,2.41,55.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83,0.84,0.27,7.59,0.55,0.088,29.1,63.7,6.97,22.4,0.49,54.3,32.7,61.4,,0.000243703,299.0322,7.108450885,0.414541905,41.4,8.31,22.3,1.14,1.43,22.7,16,82,520000,27360,492640,277131,66590,210541,926000,31124,894876,683000,64305,618695,
3/20/2014,T,5,Echo,GG,GG15,E2,Yes,GG15E2,M,F,0,NA,NA,4.2224,3.43,63.2,47.7583,50.193,33.4784,36.991,19.2415,10.2891,66.5216,58.2964,27.7728,5.0577,8.8731,44.1881,3.1943,41.3783,0.9021,8.36,0.65,0.18,7.71,0.41,0.075,36.7,58.7,7.21,30.7,0.79,47.9,37.2,59.4,,0.000448987,202.3284,9.06363531,0.451847486,38.4,9.81,29.8,0.44,1.45,19.4,12.1,87.9,480000,28330,451670,267608,71158,196450,1150000,35781,1114219,688000,64305,623695,
3/20/2014,T,5,Echo,GG,GG15,E3,Yes,GG15E3,M,T,1,9.1,9.1,5.085,2.85,62.14,24.9206,72.0862,36.7607,38.3985,15.9236,8.9172,63.2393,46.8072,41.5539,4.6241,7.0148,72.6957,3.882,15.0727,0.1301,9.09,1.1,0.37,6.75,0.68,0.066,23.7,70.4,2.46,27,0.82,54,26.5,68.3,,0.002473046,24.9168,5.600818449,0.472953827,41.7,14.6,16,0.46,1.18,9.72,14.6,69.5,891000,41137,849863,257510,58724,198786,1060000,39589,1020411,693000,58930,634070,
1/23/2014,F,0,Gos,GG,GG16,C1,Yes,GG16C1,M,T,2,7.9,15.8,7.304,3.415,65.79,55.8516,42.79,34.1441,38.2601,16.5575,11.0384,64.9773,57.1429,30.8913,6.9597,5.0061,32.1083,7.6886,49.0329,0.6286,NA,NA,NA,NA,NA,NA,31.5,63.2,4.62,24.8,0.4,61.3,20.4,74.7,,0.000181593,823.279,14.63180153,0.671780551,49.2,11.6,16.1,0.42,0.5,12.7,6.23,58.7,664000,26149,637851,293079,52518,240561,751000,41715,1676514,733000,75247,657753,
1/23/2014,F,0,Gos,GG,GG16,C2,Yes,GG16C2,F,F,0,NA,NA,3.154,2.426,59.57,78.781,19.4883,31.6141,39.3505,18.2426,10.7927,68.3858,68.3398,22.3938,5.0193,4.2471,13.4747,5.1984,67.9207,2.5992,NA,NA,NA,NA,NA,NA,53.1,41.6,7.62,41.1,0.93,40.2,45.7,50.9,,0.000257143,465.4014,11.93633296,0.655631155,28.9,9.84,34.1,0.66,1.55,11.8,9.28,85.5,1160000,24732,1135268,323228,77110,246118,748000,50717,697283,802000,80692,721308,
1/23/2014,T,4,Gos,GG,GG16,E1,Yes,GG16E1,M,T,2,8.5,17,4.23,3.225,64.52,52.9167,45.625,30.7087,41.7323,18.6352,8.9239,69.2914,55.5556,28.7671,8.2192,7.4581,39.8923,6.2201,41.9258,0.5981,NA,NA,NA,NA,NA,NA,23.5,68.9,4.64,17.6,1.18,69.2,NA,NA,,0.00082746,86.6872,7.03432888,0.451235292,57.7,8.76,12.5,0.57,0.73,21.1,NA,NA,710000,25608,684392,355236,77110,278126,NA,NA,NA,NA,NA,NA,
1/23/2014,T,4,Gos,GG,GG16,E2,Yes,GG16E2,M,T,1,27.2,27.2,2.952,3.11,53.53,65.3579,33.1697,32.6033,45.9324,15.2065,6.2578,67.3967,61.7756,26.2639,7.8915,4.0691,24.7018,7.272,56.5217,0.3848,NA,NA,NA,NA,NA,NA,41.3,51.2,9.14,32.4,1.44,45.7,36,58.2,,0.000494864,120.5662,5.978097005,0.326923082,39.7,11.7,24.7,0.7,1.71,20.4,10.6,74.5,1140000,18465,1121535,283998,60599,223399,624000,26888,597112,574000,74463,499537,
