FeatureID,FeatureName,ROB Average,ROB Log2 Fold Change,ROB P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000010752,cd63,0.73208621832846,-1.8909284637160138,0.01392954819358606,2.741422008021413,1.8909284637160138,0.013929548193586086
ENSGACG00000012927,ENSGACG00000012927,6.279981304144609,3.9903182745617616,0.23120896832209314,0.38592834093505324,-3.9903182745617616,0.2312089683220923
ENSGACG00000014415,npsn,6.044048304872878,3.984013898218225,0.335531245484957,0.3726204671097066,-3.984013898218225,0.335531245484957
ENSGACG00000005985,tagln,4.121888281394362,1.6754611948505596,0.8352488863844755,1.2908637610586264,-1.6754611948505596,0.8352488863844755
ENSGACG00000003653,zgc:64051,1.446824422004587,0.1526405512213853,1,1.3041716348839731,-0.1526405512213853,1
ENSGACG00000003574,rpl35,6.776134523201338,0.004037775581442915,1,6.813631398577492,-0.004037775581442915,1
ENSGACG00000003471,tubb2b,0.950671202947858,-0.8554971539053161,1,1.7300235972950664,0.8554971539053161,1
ENSGACG00000004055,rpl6,5.017045837454755,-0.16797974064931065,1,5.682462123423026,0.16797974064931065,1
ENSGACG00000004060,dynll1,0.9853672322525244,-0.07432459990488688,1,1.0380141583770397,0.07432459990488688,1
ENSGACG00000010070,iqgap2,0.780660659354993,-0.8865427118893597,1,1.4505582469627865,0.8865427118893597,1
ENSGACG00000014618,h2afva,1.7660278916075174,-0.8793757555057076,1,3.2737369610352793,0.8793757555057076,1
ENSGACG00000014527,fbp2,1.1380297611930563,2.188654299511768,1,0.23954172885623995,-2.188654299511768,1
ENSGACG00000001108,ENSGACG00000001108,3.9518777378014973,-0.1585611370729183,1,4.444829857665786,0.1585611370729183,1
ENSGACG00000001066,ENSGACG00000001066,1.0512896879313904,0.07463803922011224,1,0.9980905369009998,-0.07463803922011224,1
ENSGACG00000003243,pdlim1,1.6411221861107184,0.6965947474234698,1,1.0113984107263465,-0.6965947474234698,1
ENSGACG00000004750,cfl1l,2.4877053011445773,-0.2704119411215784,1,3.0208873583536926,0.2704119411215784,1
ENSGACG00000008736,rps24,8.025191578169327,-0.2550003655919926,1,9.661516397201678,0.2550003655919926,1
ENSGACG00000010801,ENSGACG00000010801,1.4294764073522537,-0.483291502804028,1,2.009488947627346,0.483291502804028,1
ENSGACG00000011558,rps27a,12.285863976782355,-0.0701785136316686,1,13.015100601189037,0.0701785136316686,1
ENSGACG00000000016,cox6c,0.6765725714409938,-0.577438657359581,1,1.0113984107263465,0.577438657359581,1
ENSGACG00000003262,snrpb,0.7529038359112599,-0.4239641766978628,1,1.0113984107263465,0.4239641766978628,1
ENSGACG00000003895,rps23,6.533262318068674,-0.14644105017230347,1,7.2927148562899715,0.14644105017230347,1
ENSGACG00000004372,rpl22,4.562527853563625,0.1146537180679914,1,4.245211750285586,-0.1146537180679914,1
ENSGACG00000004926,rps10,7.69210969684453,-0.2717977579043338,1,9.368743173044052,0.2717977579043338,1
ENSGACG00000005189,rplp2,7.230652507092468,0.4857598634369298,1,5.203378665710545,-0.4857598634369298,1
ENSGACG00000005413,rhoca,1.0165936586267241,-0.2955452242744713,1,1.2509401395825863,0.2955452242744713,1
ENSGACG00000006153,rap1ab,2.9561016967575733,0.28747801448138977,1,2.4353409100384393,-0.28747801448138977,1
ENSGACG00000007041,rpl29,3.3273492103175033,-0.19838045518630376,1,3.8459755355251857,0.19838045518630376,1
ENSGACG00000007536,ENSGACG00000007536,2.987328123131773,-0.13381983375887074,1,3.3003527086859727,0.13381983375887074,1
ENSGACG00000000741,rps26,7.1022771986652025,-0.10527105079482224,1,7.705258944875719,0.10527105079482224,1
ENSGACG00000008496,rplp0,4.77417363232209,0.11824659088102418,1,4.431521983840439,-0.11824659088102418,1
